epoch	link_F1_0	link_loss	loss	relation_F1_0_1_2_3	relation_F1_0_2	relation_loss	source_F1_0_1_2_3_4	source_loss	target_F1_0_1_2_3_4	target_loss
1	0.013206183430880333	0.3872159756154877	13.86577263518093	0.014782063560431097	0.01953419667360839	1.049842688023235	0.18434966776391343	1.6051623652455398	0.15764419312326733	1.6549910035163822
1	0.021864251244415163	0.33094139696595387	12.899857210167424	0.01958073711443757	0.02577310809601715	0.9520410178767134	0.18100760892521275	1.6341920952895934	0.18491302936990245	1.638431003999926
2	0.0	0.1356394040386649	5.879661708681514	0.0	0.0	0.30104051016931493	0.15556775097163636	1.3833655946617085	0.1596428211692707	1.376367004113785
3	0.0	0.12526506369664278	5.457016976424789	0.0	0.0	0.26363958049509034	0.16791995767323162	1.3557023869602802	0.16311737124020587	1.3559075150840105
4	0.0	0.12106138223567509	5.331423679691444	0.0	0.0	0.2530337715219525	0.16541558381510318	1.3480237832023705	0.16591168930498093	1.3447539234592905
5	0.0	0.11805307735050172	5.230544549720161	0.0	0.0	0.2452845279110503	0.17620405172741904	1.3362081949781286	0.1698862362374103	1.3343031036431783
6	0.0	0.1169012889547617	5.089216947365163	0.0	0.0	0.24219967481983384	0.2133544639675861	1.2770293751612032	0.21120421515077617	1.2845290520104253
7	0.0	0.11639307144338189	4.937252609787516	0.0	0.0	0.24092223589839787	0.24897986556213006	1.2090747315007255	0.24877582064476605	1.2147027275522306
8	0.0	0.11422491873103092	4.830014131727261	0.0	0.0	0.2363247816565667	0.2539476580767214	1.1849270330200115	0.25216369057695354	1.179206504446095
9	0.0	0.11357376443275213	4.745056790115036	0.0	0.0	0.2352573577139109	0.2610238385302249	1.1528809954265282	0.26438855107019804	1.1386560564159174
10	0.0	0.11439039889254055	4.686811718656434	0.0	0.0	0.23544532757094797	0.26525948687325956	1.121412294609673	0.2711945595057468	1.1113048329897819
11	0.0	0.1127377722044479	4.589634867212003	0.0	0.0	0.23082213707234525	0.27173709678000246	1.094770981620086	0.27713040118551635	1.0883211601215186
12	0.0	0.11243390498966939	4.542866052672493	0.0	0.0	0.2310409223700985	0.27814936935408163	1.0728300689445203	0.2855139202708056	1.062700550552058
13	0.0	0.11025619419578672	4.4559965178723475	0.0	0.0	0.22653649923869323	0.2813541680609842	1.048408988263336	0.28828878567900995	1.0465124600629143
14	0.0	0.10946173814123128	4.400126045836012	0.0	0.0	0.22534863178419692	0.28836965604613346	1.0324027101378634	0.29900309526015	1.0193084961307597
15	0.0	0.1102204083214423	4.3826403243128595	0.0	0.0	0.22569223783071415	0.29423638860152523	1.0208473032400396	0.3018737448794002	1.0105693419150352
16	0.0	0.1085988644640402	4.319984507395734	0.0	0.0	0.2219634763926212	0.29276930103801035	1.0123092932668747	0.313820058329396	0.9941643139038563
17	0.0	0.10888818358828452	4.2825599500464735	0.0	0.0	0.22154481234641224	0.3084833068531733	1.000772702644758	0.3434656796068157	0.9727745641013996
18	0.0	0.10837591904626269	4.281652015290553	0.0	0.0	0.22135927311189638	0.31030176928987374	1.001242605944025	0.40666362465900874	0.9728841834049895
19	0.0	0.10890081038389683	4.204510196650761	0.0	0.0	0.21966528580572367	0.3237705748257122	0.9779193641373475	0.4509873134662528	0.9359965446403378
20	0.0	0.10758150323218	4.1604108982400945	0.0	0.0	0.21889833367851336	0.34123068306607507	0.9634801145402047	0.47812145990089644	0.9138168876146363
21	0.0	0.10701993133427537	4.111041090607103	0.0	0.0	0.21747237043928713	0.3681248438819544	0.94644779127933	0.5199409524248205	0.8954474629082196
22	0.0	0.10632836693956842	4.058653021417211	0.0	0.0	0.21562381199788375	0.3786577889299356	0.9326831191452951	0.5384669657777563	0.8755292821856995
23	0.0	0.10533719180840459	3.9917685983661393	0.0	0.0	0.21262300721874636	0.3984190053923697	0.9076161498492913	0.5434828640390014	0.8638793114004599
24	0.0	0.1057760374189724	3.964757237118357	0.0	0.0	0.2126885826422047	0.40998798981090845	0.8901650152658255	0.5541447808676432	0.8534280672760635
25	0.0	0.10425443648161614	3.900607879123124	0.0	0.0	0.20836609331476966	0.4165741154611419	0.8806047452346486	0.5565509119734051	0.8416204395083503
26	0.0	0.10180691216564382	3.8701367432493017	0.0	0.0	0.206701620719139	0.4279011898782408	0.8681219821363997	0.554827900730997	0.8396015411001397
27	0.0017511170468864554	0.09888598986519344	3.795740919129659	0.00046210029344402197	0.0	0.20238184423198527	0.44534746806018877	0.8517009607093081	0.5594553037637194	0.8241610820857584
28	0.0	0.09976867802583905	3.7686710491566258	0.0037232083509120663	0.005545204137461949	0.2009116612694065	0.4532777187302661	0.849355294558797	0.5626595440045156	0.8134114094512844
29	0.0	0.09918368512668888	3.800713407983798	0.0005941289991675454	0.0	0.2017713529309409	0.45187284533123223	0.8608310229368339	0.5642108312383092	0.8237208901630109
30	0.0	0.09885959029653811	3.743876674532541	0.0	0.0	0.19836064667850217	0.47649298333481943	0.8404516357753008	0.5615806650525923	0.820017290283525
31	0.0	0.09730374533112915	3.7189981350405024	0.00495832617174604	0.0	0.1969324208524337	0.49390342323699327	0.8377534481544332	0.5755813871592473	0.8108375516380755
32	0.003327122404844318	0.09571417276929724	3.6980526487593135	0.0018875020946107954	0.001663561202422159	0.1942529656956781	0.4926460120709266	0.8380752918978527	0.575911153016119	0.8145968834865845
33	0.0027726019994159285	0.09574857561548863	3.684997359615455	0.005233286445177932	0.008317806344823018	0.19618121221451357	0.5246335429216225	0.8221402801523698	0.5754186996754684	0.7962571592257319
34	0.0040400771907745355	0.09390760352004628	3.6370520088182094	0.005314153952231587	0.009242007008727769	0.19156764648380767	0.5229328460135544	0.8217883417588585	0.5872003793332048	0.7928547258623934
