epoch	link_F1_0	link_loss	loss	relation_F1_0_1_2_3	relation_F1_0_2	relation_loss	source_F1_0_1_2_3_4	source_loss	target_F1_0_1_2_3_4	target_loss
1	0.0408678479558913	0.3730034094749057	13.385596921985252	0.02783927996598193	0.023966453084740526	1.0048291080764928	0.1956620914210935	1.6185143882047315	0.19833849085577152	1.6114225006496967
2	0.006463524824230649	0.12998971530643588	5.520699273724489	0.008448697285347124	0.005461153754919747	0.28313165178459504	0.23641905807718966	1.2924754773171176	0.2407408368337752	1.288117665939265
3	0.0	0.11837924113569026	4.778966318555167	0.00913018879908468	0.00672529668988271	0.25153046178276756	0.3596267594247251	1.086740142968477	0.36789975850963236	1.0688111423922562
4	0.013181304524828137	0.11125625098768165	4.32827629886284	0.014135380743379344	0.011704821266077244	0.23510693484857292	0.42226911473951023	0.9393857722670149	0.4253647421174518	0.9307661534450395
5	0.019960408430654487	0.10894962395785542	4.096133965617137	0.025197464713133395	0.015916076183256925	0.22604453064340652	0.4430262158343664	0.8678796218213864	0.4451566559145676	0.8619127630283137
6	0.0366563856560434	0.10568995529174456	3.8899926017312443	0.029932646390290116	0.025512905344868043	0.2172480643029571	0.46286750018720446	0.8099091470336737	0.48895483092489056	0.8025621472520018
7	0.0472694248989426	0.1039350802876553	3.716700824296376	0.04445830223121105	0.02898034647537951	0.2127948779159637	0.599661508951697	0.7436936651657705	0.6345781186211045	0.7407284637366263
8	0.07356011476652445	0.10014974265905939	3.5505417710706086	0.058911515734743146	0.049741273746719224	0.20510701352464158	0.6684639798440176	0.6986888896159298	0.6611538520309159	0.6966947717158313
9	0.11838154234305802	0.09848519913517068	3.4287642637782825	0.0772414461142561	0.06715817517188591	0.20043217826070447	0.713189754171247	0.6605476512612578	0.7134080449367707	0.659732154615388
10	0.1268855044060649	0.0965966785587876	3.3304577714622035	0.086226089024423	0.07813204018857597	0.19625347735504536	0.7397399961147438	0.6316651347107414	0.741882910682334	0.6317327288607825
11	0.16911937953279724	0.09587245038592787	3.2582696250121517	0.09912845490813903	0.09702311180746018	0.19631183788374698	0.762676446161311	0.5950312867566313	0.7665475351539667	0.5950064854336953
12	0.14312890402995762	0.09364383208218616	3.135294774158032	0.10352392977899434	0.0910286627654732	0.1891864439195415	0.779251649685993	0.5661757154797251	0.7779374773413555	0.5713431674740179
